ID,Module,Title,Preconditions,Steps,Expected Result,Priority,Severity,Type
TC_AUTH_001,Authentication,Successful User Login,User has valid account and is on login page,1. Open the login page. 2. Enter valid email in email field. 3. Enter valid password in password field. 4. Click the 'Login' button.,User is logged in successfully, redirected to home page, and session is created.,High,Critical,Functional
TC_AUTH_002,Authentication,Successful Admin Login,Admin has valid account and is on login page,1. Open the login page. 2. Enter valid admin email. 3. Enter valid admin password. 4. Click 'Login'.,Admin is logged in, redirected to admin dashboard.,High,Critical,Functional
TC_AUTH_003,Authentication,Login with Invalid Email,User is on login page,1. Enter invalid email format (e.g., abc@). 2. Enter valid password. 3. Click 'Login'.,Error message: 'Invalid email format' displayed.,Medium,Major,Validation
TC_AUTH_004,Authentication,Login with Wrong Password,User has account and is on login page,1. Enter valid email. 2. Enter incorrect password. 3. Click 'Login'.,Error message: 'Invalid credentials' displayed.,High,Major,Functional
TC_AUTH_005,Authentication,Login with Empty Fields,User is on login page,1. Leave email and password fields empty. 2. Click 'Login'.,Error messages for both fields: 'Email is required', 'Password is required'.,Medium,Major,Validation
TC_AUTH_006,Authentication,Login with SQL Injection Attempt,User is on login page,1. Enter email: ' OR '1'='1. 2. Enter password: anything. 3. Click 'Login'.,Login fails, no unauthorized access.,High,Critical,Security
TC_AUTH_007,Authentication,Successful User Registration,User is on registration page,1. Enter unique username. 2. Enter valid email. 3. Enter password (min 8 chars). 4. Confirm password. 5. Click 'Register'.,User registered, success message, redirected to login.,High,Critical,Functional
TC_AUTH_008,Authentication,Registration with Existing Email,User is on registration page,1. Enter existing email. 2. Enter other details. 3. Click 'Register'.,Error: 'Email already exists'.,Medium,Major,Validation
TC_AUTH_009,Authentication,Registration with Weak Password,User is on registration page,1. Enter details with password <8 chars. 2. Click 'Register'.,Error: 'Password must be at least 8 characters'.,Medium,Major,Validation
TC_AUTH_010,Authentication,Registration with Mismatched Passwords,User is on registration page,1. Enter password. 2. Enter different confirm password. 3. Click 'Register'.,Error: 'Passwords do not match'.,Medium,Major,Validation
TC_AUTH_011,Authentication,OTP Verification for Login,User enabled 2FA and is on OTP page,1. Enter valid OTP from email/SMS. 2. Click 'Verify'.,Login successful.,High,Critical,Functional
TC_AUTH_012,Authentication,Invalid OTP,User on OTP page,1. Enter wrong OTP. 2. Click 'Verify'.,Error: 'Invalid OTP'.,High,Major,Functional
TC_AUTH_013,Authentication,OTP Resend,User on OTP page,1. Click 'Resend OTP'.,New OTP sent, message displayed.,Medium,Minor,Functional
TC_AUTH_014,Authentication,Session Timeout,User logged in,1. Wait for session to expire (e.g., 30 min). 2. Try to access protected page.,Redirected to login.,Medium,Major,Functional
TC_AUTH_015,Authentication,Logout,User logged in,1. Click 'Logout' button.,User logged out, redirected to login.,High,Critical,Functional
TC_AUTH_016,Authentication,Remember Me Login,User checked remember me previously,1. Close browser. 2. Reopen and go to site.,User still logged in.,Medium,Minor,Functional
TC_AUTH_017,Authentication,Password Reset Request,User forgot password,1. Click 'Forgot Password'. 2. Enter email. 3. Click 'Send Reset Link'.,Reset link sent to email.,Medium,Major,Functional
TC_AUTH_018,Authentication,Password Reset with Valid Token,User received reset link,1. Click link in email. 2. Enter new password. 3. Confirm. 4. Click 'Reset'.,Password updated, login with new password works.,High,Critical,Functional
TC_AUTH_019,Authentication,Password Reset with Expired Token,Reset link expired,1. Click expired link.,Error: 'Link expired'.,Medium,Major,Functional
TC_AUTH_020,Authentication,Account Lock After Failed Attempts,User has account,1. Attempt login 5 times with wrong password.,Account locked, message displayed.,High,Major,Security
TC_PROD_001,Product,View Product List,User logged in,1. Navigate to product page.,Product list displayed with images, names, prices.,High,Critical,Functional
TC_PROD_002,Product,View Product Detail,User on product list,1. Click on a product name/image.,Product detail page opens with full info.,High,Critical,Functional
TC_PROD_003,Product,Product Search by Name,User on product page,1. Enter product name in search bar. 2. Click search.,Matching products displayed.,High,Critical,Functional
TC_PROD_004,Product,Product Search No Results,User on product page,1. Enter non-existent keyword. 2. Click search.,'No products found' message.,Medium,Major,Functional
