Test Case ID,Module,Test Case Name,Description,Preconditions,Test Steps,Expected Result,Actual Result,Status
TC001,Authentication,User Registration,Verify user can register with valid details,User is on signup page,1. Enter username, email, password. 2. Click signup button.,User is registered successfully and redirected to login.,,
TC002,Authentication,User Login,Verify user can login with correct credentials,User has account and is on login page,1. Enter email and password. 2. Click login button.,User is logged in and redirected to home.,,
TC003,Authentication,Invalid Login,Verify error on wrong credentials,User is on login page,1. Enter wrong email/password. 2. Click login.,Error message displayed.,,
TC004,Product,View Product List,Verify products are displayed,User is logged in,Navigate to /product,Product list shown.,,
TC005,Product,View Product Detail,Verify product details,User is on product list,Click on a product,Product detail page opens.,,
TC006,Product,Search Product,Verify search functionality,User is on product page,Enter keyword in search,Matching products displayed.,,
TC007,Cart,Add to Cart,Verify adding product to cart,User is on product detail,Click add to cart,Product added to cart.,,
TC008,Cart,View Cart,Verify cart contents,User has items in cart,Navigate to /cart,Cart items displayed.,,
TC009,Cart,Remove from Cart,Verify removing item,User is on cart page,Click remove on item,Item removed from cart.,,
TC010,News,View News List,Verify news list,User is logged in,Navigate to /news,News list shown.,,
TC011,News,View News Detail,Verify news detail,User is on news list,Click on news,News detail page opens.,,
TC012,Contact,View Contact Page,Verify contact page,User is logged in,Navigate to /contact,Contact form displayed.,,
TC013,Admin,Admin Login,Verify admin login,Admin user exists,Login as admin,Redirected to admin dashboard.,,
TC014,Admin,Manage Users,Verify user management,Admin logged in,Navigate to /admin/users,User list displayed, can add/edit/delete.,,
TC015,Admin,Manage Products,Verify product management,Admin logged in,Navigate to /admin/products,Product list displayed, can add/edit/delete.,,
TC016,Admin,Manage News,Verify news management,Admin logged in,Navigate to /admin/news,News list displayed, can add/edit/delete.,,
TC017,API,Get All Products,Verify API returns products,None,GET /api/products,JSON array of products.,,
TC018,API,Add Product,Verify adding product via API,Admin token,POST /api/products with data,Product created.,,
TC019,API,Update Product,Verify updating product,Admin token,PUT /api/products/:id,Product updated.,,
TC020,API,Delete Product,Verify deleting product,Admin token,DELETE /api/products/:id,Product deleted.,,
TC021,API,Search Product,Verify search API,None,GET /api/products?search=keyword,Matching products.,,
TC022,API,User Registration API,Verify signup API,None,POST /api/signin,User created.,,
TC023,API,User Login API,Verify login API,None,POST /api/login,JWT token returned.,,
TC024,API,Get Users API,Verify get users,Admin token,GET /api/users,User list.,,
TC025,API,Update User API,Verify update user,Admin token,PUT /api/users/:id,User updated.,,
TC026,API,Delete User API,Verify delete user,Admin token,DELETE /api/users/:id,User deleted.,,
TC027,API,Get Cart API,Verify get cart,User token,GET /api/cart,Cart items.,,
TC028,API,Add to Cart API,Verify add to cart,User token,POST /api/cart,Item added.,,
TC029,API,Remove from Cart API,Verify remove from cart,User token,DELETE /api/cart/:productId,Item removed.,,
TC030,API,Get News API,Verify get news,None,GET /api/news,News list.,,
TC031,API,Get News by ID API,Verify get news detail,None,GET /api/news/:id,News object.,,
TC032,API,Add News API,Verify add news,Admin token,POST /api/news,News created.,,
TC033,API,Update News API,Verify update news,Admin token,PUT /api/news/:id,News updated.,,
TC034,API,Delete News API,Verify delete news,Admin token,DELETE /api/news/:id,News deleted.,,
